external_id,name,category_raw,address_clean,postcode_digits,city_market,lat,lon,website_norm,phones_e164,emails_final_clean,facebook_url_final_clean_best,instagram_url_final_clean_best,whatsapp_url_final_clean_best,youtube_url_final_clean_best,tiktok_url_final_clean_best,linkedin_url_final_clean_best,telegram_url_final_clean_best,twitter_url_final_clean_best,pinterest_url_final_clean_best,google_maps_url,open_status_norm,working_hours
ChIJqxp2HC7_sUARwlutswVtY18,Scope Beauty & Education,Salon de înfrumusețare,"Strada Henri Coandă 33, Bucuresti",010667,București,44.448996,26.091578,https://scopebeauty.ro/,+40773989930,,,https://www.instagram.com/denis_cristixn,,,https://www.tiktok.com/@scopebeauty,,,,,https://www.google.com/maps/place/Scope+Beauty+%26+Education/data=!4m7!3m6!1s0x40b1ff2e1c761aab:0x5f636d05b3ad5bc2!8m2!3d44.448996!4d26.091578!16s%2Fg%2F11l2bzvwss!19sChIJqxp2HC7_sUARwlutswVtY18?authuser=0&hl=ru&rclk=1,open,joi: 10–21; vineri: 10–21; sâmbătă: 10–18; duminică: Închis; luni: 10–21; marți: 10–21; miercuri: 10–21
ChIJH-3ruq74sUAR2kMTgDvXXPI,"COTOI MARIAN, SALON",Salon de înfrumusețare,"Salon Coafor & Keratina, Strada Austrului 54, Bucuresti",024073,București,44.4350316,26.1239123,https://www.mariancotoi.ro/bucuresti/contact/,+40728265661,bymariancotoi@yahoo.com,,https://www.instagram.com/mariancotoi,,,,,,,,"https://www.google.com/maps/place/COTOI+MARIAN,+SALON/data=!4m7!3m6!1s0x40b1f8aebaebed1f:0xf25cd73b801343da!8m2!3d44.4350316!4d26.1239123!16s%2Fg%2F1hc1ylr9j!19sChIJH-3ruq74sUAR2kMTgDvXXPI?authuser=0&hl=ru&rclk=1",open,joi: 09–21; vineri: 09–21; sâmbătă: 09–21; duminică: Închis; luni: Închis; marți: Închis; miercuri: Închis
ChIJv_4FE2YCskARCzC_05NUyRY,1Dream Beauty Studio by Raluca Racovita,Salon de înfrumusețare,"Str. Nicolae G. Caramfil 40, Bucuresti",014144,București,44.482124,26.092678,https://www.1dream.ro/contact/,+40728580314,office@1dream.ro,https://facebook.com/1dreambyralucaRacovita,https://instagram.com/1dreambeauty,,https://www.youtube.com/channel/UCRrdk8kO12NYo_PeP35sung,,,,,https://ro.pinterest.com/raluca6217,https://www.google.com/maps/place/1Dream+Beauty+Studio+by+Raluca+Racovita/data=!4m7!3m6!1s0x40b202661305febf:0x16c95493d3bf300b!8m2!3d44.482124!4d26.092678!16s%2Fg%2F11cn2mfd0v!19sChIJv_4FE2YCskARCzC_05NUyRY?authuser=0&hl=ru&rclk=1,open,joi: 10–21; vineri: 10–21; sâmbătă: 08–19; duminică: Închis; luni: 10–21; marți: 10–21; miercuri: 10–21
ChIJ9X5aav7-sUAR5cv7ZP0-QL0,Salon THOMAS - Coiffeur Francais,Salon de înfrumusețare,"Bloc 42, Piscului, Nr. 16, Bl. 42, Sc. C, Parter, Bucuresti",040405,București,44.4109873,26.1123351,https://www.thomas.ro/programari,,salon@thomas.ro,,https://www.instagram.com/thomas_coiffeur_francais,https://wa.me/+40738834424?text=Buna,,,,,,,https://www.google.com/maps/place/Salon+THOMAS+-+Coiffeur+Francais/data=!4m7!3m6!1s0x40b1fefe6a5a7ef5:0xbd403efd64fbcbe5!8m2!3d44.4109873!4d26.1123351!16s%2Fg%2F11hbhhwyrz!19sChIJ9X5aav7-sUAR5cv7ZP0-QL0?authuser=0&hl=ru&rclk=1,open,joi: 10:30–20; vineri: 10:30–20; sâmbătă: 10:30–19; duminică: Închis; luni: Închis; marți: 10:30–20; miercuri: 10:30–20
ChIJsUAvrxD_sUARWSBvPZOtKwE,4AM Beauty Salon,Salon de înfrumusețare,"Strada Școalei 2, Bucuresti",020964,București,44.4409188,26.1020617,,+40785550442,,,,,,,,,,,https://www.google.com/maps/place/4AM+Beauty+Salon/data=!4m7!3m6!1s0x40b1ff10af2f40b1:0x12bad933d6f2059!8m2!3d44.4409188!4d26.1020617!16s%2Fg%2F11ry14m2q_!19sChIJsUAvrxD_sUARWSBvPZOtKwE?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–18; duminică: 09–18; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJzZZ3BzYBskARbA_B-H23S1Y,Hairmony Salon,Salon de înfrumusețare,"Strada Frumoasă 6, Bucuresti",010987,București,44.4487491,26.084181,https://hairmony.ro/contact/,+40771388326,contact@hairmony.ro,https://www.facebook.com/Hairmony-Salon-316162225695303,https://www.instagram.com/hairmony.salon,https://wa.me/40771388326,,,,,,,https://www.google.com/maps/place/Hairmony+Salon/data=!4m7!3m6!1s0x40b20136077796cd:0x564bb77df8c10f6c!8m2!3d44.4487491!4d26.084181!16s%2Fg%2F11jmyxf_19!19sChIJzZZ3BzYBskARbA_B-H23S1Y?authuser=0&hl=ru&rclk=1,open,joi: 10–20; vineri: 10–18; sâmbătă: 09–15; duminică: Închis; luni: 10–20; marți: Închis; miercuri: 10–20
ChIJAUctSDH_sUAR51XmE9CHMI0,"Attitude Salon Frizerie, Coafor, Blond Expert, Balayage, Acoperire de par alb, Tunsori moderne, Decebal, Sector 3 Barber Shop",Coafor,"Strada Învingătorilor 23, Bucuresti",030921,București,44.4299064,26.1309209,https://attitudesalon.ro/contact/,+40729227334,office@attitudesalon.ro,https://www.facebook.com/attitudesalon,,,,,,,,,"https://www.google.com/maps/place/Attitude+Salon+Frizerie,+Coafor,+Blond+Expert,+Balayage,+Acoperire+de+par+alb,+Tunsori+moderne,+Decebal,+Sector+3+Barber+Shop/data=!4m7!3m6!1s0x40b1ff31482d4701:0x8d3087d013e655e7!8m2!3d44.4299064!4d26.1309209!16s%2Fg%2F1hc1ww5y9!19sChIJAUctSDH_sUAR51XmE9CHMI0?authuser=0&hl=ru&rclk=1",open,joi: 10–17; vineri: 10–17; sâmbătă: 10–17; duminică: Închis; luni: Închis; marți: Închis; miercuri: 10–17
ChIJ3W8BnHr_sUAR1G7OWv1SjoY,Anastasia Beauty Center,Salon de înfrumusețare,"Calea 13 Septembrie 87-89, Bucuresti",050713,București,44.4248787,26.0791179,https://www.anastasia-beauty-center.ro/,+40727573730,anastasiabucuresti@yahoo.com,https://www.facebook.com/BeautyCenterAnastasia,,,https://www.youtube.com/channel/UCYSKIUZMy_MrSmFGAxU4dbg,,,,,,https://www.google.com/maps/place/Anastasia+Beauty+Center/data=!4m7!3m6!1s0x40b1ff7a9c016fdd:0x868e52fd5ace6ed4!8m2!3d44.4248787!4d26.0791179!16s%2Fg%2F1hc223q0v!19sChIJ3W8BnHr_sUAR1G7OWv1SjoY?authuser=0&hl=ru&rclk=1,open,joi: 09–20; vineri: 09–20; sâmbătă: 09–20; duminică: Închis; luni: 09–20; marți: 09–20; miercuri: 09–20
ChIJg5io9Eb_sUARrlFuygG5BEM,Studio 55 beauty salon,Salon de înfrumusețare,"Strada Ion Câmpineanu 11, Bucuresti",030167,București,44.4372258,26.0991009,https://www.studio55.ro/,+40757788346,,,https://www.instagram.com/studio55beauty,,,,,,,,https://www.google.com/maps/place/Studio+55+beauty+salon/data=!4m7!3m6!1s0x40b1ff46f4a89883:0x4304b901ca6e51ae!8m2!3d44.4372258!4d26.0991009!16s%2Fg%2F11c5zqc3hp!19sChIJg5io9Eb_sUARrlFuygG5BEM?authuser=0&hl=ru&rclk=1,open,joi: 11–21; vineri: 10–19; sâmbătă: 10–19; duminică: Închis; luni: Închis; marți: 11–21; miercuri: 11–21
ChIJ5aCj0bb_sUARl1om0FGESZI,The Crib Hair Studio,Coafor,"Bloc Le Fontane, Etj Mezanin, Strada Traian Popovici 79-91, Bucuresti",031422,București,44.4228393,26.1334142,https://www.thecrib.ro/,+40758432742,,https://www.facebook.com/thecribhairstudio,https://www.instagram.com/thecribhairstudio,,,,,,,,https://www.google.com/maps/place/The+Crib+Hair+Studio/data=!4m7!3m6!1s0x40b1ffb6d1a3a0e5:0x92498451d0265a97!8m2!3d44.4228393!4d26.1334142!16s%2Fg%2F11gpnj3qhj!19sChIJ5aCj0bb_sUARl1om0FGESZI?authuser=0&hl=ru&rclk=1,open,joi: 09:30–21; vineri: 09:30–21; sâmbătă: 09:30–20; duminică: Închis; luni: 09:30–21; marți: 09:30–21; miercuri: 09:30–21
